1968,98
1969,102
1970,179
1971,154
1972,198
1973,153
1974,231
1975,210
1976,327
1977,233
1978,222
1979,243
1980,236
1981,301
1982,358
1983,285
1984,327
1985,435
1986,377
1987,361
1988,369
1989,359
1990,286
1991,420
1992,272
1993,272
1994,310
1995,268
1996,238
1997,184
1998,1286
1999,1171
2000,1151
2001,1732
2002,2648
2003,1899
2004,2647
2005,4995
2006,6660
2007,4526
2008,2846
2009,560
